structure_type,X,Y,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,Location
transformer,8.5402481,11.8854438,106718,Fari Village,,,,,,,,"""operator""=>""KEDCO"",""power""=>""transformer"",""rating""=>""300"",""voltage""=>""0.415""","(8.5402481, 11.8854438)"
transformer,9.5638279,12.6027733,170940,Gsm,,,,,,,,"""operator""=>""KEDCO"",""power""=>""transformer"",""rating""=>""50"",""voltage-high""=>""33"",""voltage-low""=>""0.145""","(9.5638279, 12.6027733)"
transformer,7.2422897,11.5803911,326417,TR 1,,,,,,,,"""branch""=>""Funtua"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""15 MVA"",""transformer""=>""distribution"",""voltage""=>""33000"",""voltage-high""=>""33"",""voltage-low""=>""11""","(7.2422897, 11.5803911)"
transformer,7.6152614,11.7911262,326660,,,,,,,,,"""branch""=>""Funtua"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""7500"",""transformer""=>""distribution"",""voltage""=>""33000""","(7.6152614, 11.7911262)"
transformer,10.0284101,12.44313,187836,,,,,,,,,"""branch""=>""Hadejia BU"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""7.5MVA + 15MVA"",""transformer""=>""distribution"",""voltage""=>""33000""","(10.0284101, 12.44313)"
transformer,10.0285372,12.443187,187838,,,,,,,,,"""branch""=>""Hadejia BU"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""7.5MVA + 15MVA"",""transformer""=>""distribution"",""voltage""=>""33000""","(10.0285372, 12.443187)"
transformer,8.5515389,12.0084363,167881,,,,,,,,,"""branch""=>""Tajuddeen Rabiu Gwadabe"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""15 MVA"",""transformer""=>""distribution"",""voltage""=>""330000""","(8.5515389, 12.0084363)"
transformer,8.5485521,11.9748284,167962,,,,,,,,,"""branch""=>""Tajuddeen Rabiu Gwadabe"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""7.5 MVA"",""transformer""=>""distribution"",""voltage""=>""33000""","(8.5485521, 11.9748284)"
transformer,8.548691,11.9748082,170741,,,,,,,,,"""branch""=>""Tajuddeen Rabiu Gwadabe"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""7.5 MVA"",""transformer""=>""distribution"",""voltage""=>""33000""","(8.548691, 11.9748082)"
transformer,8.5510739,12.0083311,171203,Club Road,,,,,,,,"""branch""=>""Tajudden Rabiu Gwadabe"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""substation"",""rating""=>""15 MVA"",""substation""=>""distribution"",""transformer""=>""distribution"",""voltage""=>""33000""","(8.5510739, 12.0083311)"
transformer,8.5225644,11.980749,171204,Dan Agundi,,,,,,,,"""branch""=>""Tajudden Rabiu Gwadabe"",""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""60 MVA"",""voltage""=>""132000""","(8.5225644, 11.980749)"
transformer,8.7183087,12.0557894,348049,Yammusa,,,,,,,,"""cables""=>""1"",""operator""=>""KEDCO"",""power""=>""transformer"",""rating""=>""200"",""unit""=>""Dakata"",""voltage-high""=>""33"",""voltage-low""=>""0.415""","(8.7183087, 12.0557894)"
transformer,8.5514554,12.0084235,166699,TR1 15MVA,,,,,,,,"""frequency""=>""50"",""location""=>""outdoor"",""operator""=>""KEDCO"",""phases""=>""3"",""power""=>""transformer"",""rating""=>""15"",""transformer""=>""distribution"",""voltage""=>""33000""","(8.5514554, 12.0084235)"
