FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
1,111030d7-ac15-4548-a574-26e2805d73e5,122068,7/6/2017 12:00:00 AM,racheal.olarewaju, ,Gwanfi Kele,51911,Wasagu-Danko,519,Kebbi,KB, ,Kasuwan Dank, , , ,OSGOF,Kasuwan Dank, , , , , , , ,0,BUA,5.18451000023634,11.6007000002049
2,3bd51732-6671-4bf8-9d20-540d8647ca28,122069,7/31/2017 12:00:00 AM,racheal.olarewaju, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB, ,Ogamgbo, , , ,OSGOF,Ogamgbo Market, , , , , , , ,0,SSA,7.85473999975125,6.11916000003401
3,606a2edc-db03-401b-a058-1199ac20ccd1,122070,6/21/2018 12:00:00 AM,oluwadare.sewedo, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,Other,Kara, , ,Mixed,GRID,Akarigbo Modern Market Ariye Kara,Yes,Yes,Yes,Yes,Yes,Yes,No,0, ,3.62528877415764,6.82232208419686
4,bb044b1f-06da-4585-8607-e905dceedaa3,122071,6/21/2018 12:00:00 AM,oluwadare.sewedo, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,Other,Kara sabo, , ,Other,GRID,Kara Ram Market,Yes,Yes,Yes,Yes,Yes,Yes,No,0, ,3.62622644419508,6.82401585834526
5,48dcf4cb-fca0-4ed5-826d-a8481ee566e7,122072,6/25/2018 12:00:00 AM,alabi.ayodele, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,Other,Itawure,Other, ,Other,GRID,Itawure Community Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,4.95235833277087,7.72713999971126
6,e92855df-4e17-4424-b519-4765342a8060,122073,6/25/2018 12:00:00 AM,alabi.ayodele, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,Bi-Weekly,Ita Ido,Food Stuff, ,Food Stuff,GRID,Erelu Bisi Fayemi Market Ita Ido,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,4.95981999969325,7.73153166715275
7,34e47173-99c1-40a5-9c74-a82d8c767458,122074,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Eke Obeaja, , , ,OSGOF,Ahia Eke Obeaja Market, , , , , , , ,0,HA,7.34896000040374,5.00418999986863
8,706f797b-8977-452c-b2ed-681f6508904e,122075,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Orie Obegu, , , ,OSGOF,Ahia Orie Obegu Market, , , , , , , ,0,BUA,7.32657999986714,4.98532999977971
9,03035a76-7b07-429a-98da-9a8fed3e3d55,122076,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Nkwo Ihie, , , ,OSGOF,Ahia Nkwo Ihie Market, , , , , , , ,0,SSA,7.30943999995606,5.00769999985516
10,9c9d7657-72d7-4f7a-bf4a-3ced7d2dcdda,122077,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Afor Mbaso, , , ,OSGOF,Ahia Afor Mbaso Market, , , , , , , ,0,SSA,7.31672000022786,5.01884999962783
